responsible	adj. 有责任的,负责的,责任重大的,应负责的
dry	adj. 干的，干燥的,干旱的，不行于色的，枯燥无味的，无酒的，口渴的 vt. 把...弄干 vi. （使）变干
comparison	n. 比较
factor	n. 因素,因子 vt. 把…因素包括进去 vi.作为因素
emergency	adj. 紧急的 n. 紧急情况,突发事件
security	n.安全； 保证，担保； 保护，防护； 有价证券 adj.安全的，保安的，保密的
mine	pron.(I的所有格)我的（东西） n.矿； 矿井； 地雷； 水雷 vt.& vi.在…中开采，开采 vt.在…中[下]布雷； 以地雷[水雷]炸毁
accident	n. 事故,意外的事
supporter	n. 支持者，抚养者，支撑物
represent	vt. 表现, 表示, 描绘, 代表 vi. 提出异议
minority	n. 少数, 少数民族, 未成年
personality	n. 个性, 名人, 特色
seek	n. 找寻 v. 寻求,寻找,搜索
throughout	adv. 到处, 自始至终 prep. 遍及, 贯穿
lock	n.锁； 水闸，船闸； （机器部件等的）锁定； 一把，一撮 vt.锁上； 锁好，关好； 使固定； 隐藏 vi.卡住，不动； 纠结； 僵硬不动
summer	adj. 夏季的 n. 夏天, 全盛期, 年 vi. 度过夏天 vt. 在夏天保存或存放, 放(羊/牛)
blue	adj. 蓝色的,沮丧的,忧郁的,(女人)有学问的 n. 蓝色 vt. 使...变蓝 vi. 变蓝
attend	vt. 参加,注意,照料 vi. 专心,留意,待命
virtually	adv. 几乎,实际上
educate	v. 教育,培养 vt. 教育
average	n. 平均数,平均水平 adj. 一般的,通常的,平均的 vt. &vi. 取平均值，达到平均水平
knock	n. 敲,敲打 vt.& vi. 敲击,互撞,攻击
publication	n. 出版, 发行, 出版物, 公布, 发表
conflict	n.冲突； 战斗； 相互干扰； 矛盾 vi.抵触； 争斗； 战斗； 冲突
description	n. 描写, 描述, 说明书, 作图 n. 类型
occupy	vt. 占领,占,住进
